2025-04-13 21:55:55,725 - INFO - Epoch 1, Batch 131: Loss = 5.1316, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:55,783 - INFO - Epoch 1, Batch 132: Loss = 1.8107, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:55,838 - INFO - Epoch 1, Batch 133: Loss = 2.3447, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:55,897 - INFO - Epoch 1, Batch 134: Loss = 1.3567, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:55,951 - INFO - Epoch 1, Batch 135: Loss = 0.6369, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:56,009 - INFO - Epoch 1, Batch 136: Loss = 1.3437, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:56,065 - INFO - Epoch 1, Batch 137: Loss = 0.7707, Accuracy = 100.00%, Precision = 1.0000, Recall = 1.0000
2025-04-13 21:55:56,123 - INFO - Epoch 1, Batch 138: Loss = 3.1974, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:56,176 - INFO - Epoch 1, Batch 139: Loss = 0.4691, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:56,230 - INFO - Epoch 1, Batch 140: Loss = 0.3939, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:56,283 - INFO - Epoch 1, Batch 141: Loss = 0.5758, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:56,336 - INFO - Epoch 1, Batch 142: Loss = 0.4902, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:56,388 - INFO - Epoch 1, Batch 143: Loss = 0.6938, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:56,444 - INFO - Epoch 1, Batch 144: Loss = 1.3360, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:56,498 - INFO - Epoch 1, Batch 145: Loss = 0.3581, Accuracy = 100.00%, Precision = 1.0000, Recall = 1.0000
2025-04-13 21:55:56,550 - INFO - Epoch 1, Batch 146: Loss = 0.1119, Accuracy = 100.00%, Precision = 1.0000, Recall = 1.0000
2025-04-13 21:55:56,604 - INFO - Epoch 1, Batch 147: Loss = 0.6937, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:56,660 - INFO - Epoch 1, Batch 148: Loss = 0.8631, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:56,718 - INFO - Epoch 1, Batch 149: Loss = 0.6559, Accuracy = 100.00%, Precision = 1.0000, Recall = 1.0000
2025-04-13 21:55:56,778 - INFO - Epoch 1, Batch 150: Loss = 1.5800, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:56,840 - INFO - Epoch 1, Batch 151: Loss = 0.0280, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:56,895 - INFO - Epoch 1, Batch 152: Loss = 1.1313, Accuracy = 100.00%, Precision = 1.0000, Recall = 1.0000
2025-04-13 21:55:56,951 - INFO - Epoch 1, Batch 153: Loss = 0.2122, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:57,005 - INFO - Epoch 1, Batch 154: Loss = 1.5202, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:57,058 - INFO - Epoch 1, Batch 155: Loss = 1.2070, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:57,112 - INFO - Epoch 1, Batch 156: Loss = 0.1540, Accuracy = 100.00%, Precision = 1.0000, Recall = 1.0000
2025-04-13 21:55:57,168 - INFO - Epoch 1, Batch 157: Loss = 3.7139, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:57,221 - INFO - Epoch 1, Batch 158: Loss = 0.3827, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:57,277 - INFO - Epoch 1, Batch 159: Loss = 0.0415, Accuracy = 100.00%, Precision = 1.0000, Recall = 1.0000
2025-04-13 21:55:57,330 - INFO - Epoch 1, Batch 160: Loss = 2.2247, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:57,389 - INFO - Epoch 1, Batch 161: Loss = 1.0045, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:57,442 - INFO - Epoch 1, Batch 162: Loss = 0.0030, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:57,496 - INFO - Epoch 1, Batch 163: Loss = 0.0378, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:57,552 - INFO - Epoch 1, Batch 164: Loss = 0.4299, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:57,612 - INFO - Epoch 1, Batch 165: Loss = 1.6968, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:57,666 - INFO - Epoch 1, Batch 166: Loss = 1.6453, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:57,721 - INFO - Epoch 1, Batch 167: Loss = 0.1692, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:57,775 - INFO - Epoch 1, Batch 168: Loss = 7.2921, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:57,838 - INFO - Epoch 1, Batch 169: Loss = 0.0599, Accuracy = 100.00%, Precision = 1.0000, Recall = 1.0000
2025-04-13 21:55:57,890 - INFO - Epoch 1, Batch 170: Loss = 1.4085, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:57,947 - INFO - Epoch 1, Batch 171: Loss = 1.6803, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:57,999 - INFO - Epoch 1, Batch 172: Loss = 0.0274, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:58,052 - INFO - Epoch 1, Batch 173: Loss = 0.0710, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:58,111 - INFO - Epoch 1, Batch 174: Loss = 0.8904, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:58,167 - INFO - Epoch 1, Batch 175: Loss = 1.2539, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:58,224 - INFO - Epoch 1, Batch 176: Loss = 0.7183, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:58,278 - INFO - Epoch 1, Batch 177: Loss = 8.8301, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
